observation_uuid,start_lat,start_lon,start_code_postal,end_lat,end_lon,end_code_postal,rain,heat,day_of_week,hour,minute,fee,restaurant.id,customer.id,time.driving,time.biking,is_weekend,timestamp,haversine
0d742256-0b36-f3cd-0acf-eba4441030ae,48.8406,2.322,75014,48.8262,2.3192,75014,2,5,Saturday,13,44,1.69,48.8406_2.322,48.8262_2.3192,430.9,528.7,1,104,1.6142715857739014
743c7e9d-2fde-b035-2452-bc39dbf2eed1,48.8472,2.3527,75005,48.8337,2.388,75012,9,3,Tuesday,14,14,1.59,48.8472_2.3527,48.8337_2.388,544.5,985.8,0,134,2.987862465967726
43893bc5-449c-56ef-3857-ebe679ffa869,48.9015,2.3704,75019,48.8814,2.3484,75009,1,9,Sunday,14,39,2.19,48.9015_2.3704,48.8814_2.3484,624.6,964.9,1,159,2.7535960857300283
284884a2-55e5-c1d9-b036-4ad9ee5be9b9,48.8504,2.2902,75015,48.8716,2.2811,75016,6,2,Thursday,12,46,1.79,48.8504_2.2902,48.8716_2.2811,607.9,1158.4,0,46,2.4495282953508193
a0ce5b5f-ca56-3921-f942-2f1efed97f9e,48.8583,2.3894,75011,48.8623,2.3426,75001,2,6,Friday,13,38,2.09,48.8583_2.3894,48.8623_2.3426,817.1,1261.0,0,98,3.4524216237549794
de386aeb-ea96-abe6-299c-f16b5a7583c0,48.8484,2.2891,75015,48.8521,2.3091,75007,2,6,Friday,12,5,1.89,48.8484_2.2891,48.8521_2.3091,338.7,603.9,0,5,1.5201267577713797
234131e2-5dce-8477-c9e1-893ec3fb3743,48.8424,2.3476,75005,48.823,2.3248,75014,3,2,Saturday,12,37,2.09,48.8424_2.3476,48.823_2.3248,556.6,956.7,1,37,2.7273636125410317
0703c5f1-5b4f-5458-6523-923afe963e96,48.8363,2.3069,75015,48.8382,2.2621,75016,3,1,Thursday,14,18,2.59,48.8363_2.3069,48.8382_2.2621,681.3,1198.1,0,138,3.2856495540436703
aedab7b5-e2aa-55a7-4951-03edfd05a5f5,48.8855,2.3214,75017,48.8469,2.3084,75015,1,4,Friday,13,18,3.29,48.8855_2.3214,48.8469_2.3084,897.6,1591.9,0,78,4.396202373195831
15dde31a-b9e4-4e0e-3fab-916954101fe9,48.8457,2.3192,75006,48.8802,2.2955,75017,2,7,Thursday,12,38,2.49,48.8457_2.3192,48.8802_2.2955,836.2,1566.4,0,38,4.209787300896866
f9d7d79d-fd0b-fd3b-a7d8-baef3a0aff49,48.8599,2.2737,75016,48.8699,2.2996,75008,2,3,Tuesday,14,44,2.49,48.8599_2.2737,48.8699_2.2996,475.2,815.5,0,164,2.196750173873119
9602634b-0845-3d3e-6424-d7ef4d433c1f,48.8812,2.3407,75009,48.8853,2.3151,75017,1,8,Saturday,13,25,1.59,48.8812_2.3407,48.8853_2.3151,465.1,671.9,1,85,1.9266245750830913
e771edcc-969a-2550-fdb9-def338428c7a,48.8807,2.3408,75009,48.8809,2.3087,75017,0,8,Saturday,13,57,2.39,48.8807_2.3408,48.8809_2.3087,493.6,776.3,1,117,2.3474168098794146
de5fe0ee-8010-9500-5ae5-253066b48fc6,48.8721,2.3766,75010,48.8828,2.3892,75019,3,2,Saturday,12,37,0.89,48.8721_2.3766,48.8828_2.3892,370.4,636.1,1,37,1.504871695086167
28ef1f7c-347c-c539-15ea-9628ee845e1d,48.8276,2.3544,75013,48.8306,2.3387,75014,3,0,Saturday,12,45,1.39,48.8276_2.3544,48.8306_2.3387,363.9,541.1,1,45,1.196683183260752
